MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,20,NA,Project manager,NA,NA,NA,NA,NA,United States of America,NA,NA,JavaScript;Python;Ruby,C#;Crystal;Java;JavaScript;Python;Ruby,JavaScript;Python;Ruby,Elasticsearch;MongoDB;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Google Cloud,Google Cloud,Node.js;React;Ruby on Rails,Django;Node.js;React;Ruby on Rails,Node.js;React;Ruby on Rails,NA,NA,NA,NA,NA,NA,Ansible;Docker;Kubernetes,Ansible;Docker;Kubernetes,Ansible;Docker;Kubernetes,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows,Confluence;GitHub Discussions;Jira;Smartsheet,Confluence;GitHub Discussions;Jira,Confluence;GitHub Discussions;Jira,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot;Google Gemini;Meta AI;Visual Studio Intellicode,GitHub Copilot;Google Gemini;Visual Studio Intellicode,GitHub Copilot;Google Gemini;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers,Project planning;Testing code;Generating content or synthetic data,Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,15,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,3-5 times a week,6-10 times a week,6-10 times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools,Cloud only (single or multi-cloud),Internal Developer portal,Healthcare,50,0,0,25,10,0,15,0,0,Appropriate in length,Easy,NA,8
I am a developer by profession,45-54 years old,"Employed, full-time",In-person,Apples,Hobby;School or academic work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,30,25,Developer Advocate,NA,NA,NA,NA,NA,Poland,NA,NA,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Cloudflare,Cloudflare,Cloudflare,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Docker;npm;Webpack;Yarn,Docker;npm;Webpack;Yarn,Docker;npm;Webpack;Yarn,Android Studio;IntelliJ IDEA;Netbeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;WebStorm,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),NA,NA,NA,Microsoft Teams,Microsoft Teams,Microsoft Teams,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;School (i.e., University, College, etc)",NA,NA,20,12,"Developer, back-end",NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,Bash/Shell (all shells);JavaScript;VBA,Bash/Shell (all shells);JavaScript;VBA,MySQL,MySQL,MySQL,Amazon Web Services (AWS);Google Cloud;Hetzner;VMware,Hetzner;VMware,Hetzner;VMware,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ansible;Chocolatey;Docker;Make;NuGet;Pacman;Pip;Terraform,Ansible;Docker;Pacman,Ansible;Docker;Pacman,Notepad++;Vim;Visual Studio Code,Neovim;Notepad++;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows Subsystem for Linux (WSL),Doxygen;Jira;Obsidian,Jira,Jira,Discord;Microsoft Teams;Slack;Zoom,Discord;Microsoft Teams,Discord;Microsoft Teams,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for deployment,Knowledge sharing community,Hybrid (on-prem and cloud),A coworker,Software Development,0,0,30,30,0,0,20,10,10,Appropriate in length,Easy,NA,8
"I used to be a developer by profession, but no longer am",35-44 years old,"Not employed, and not looking for work",NA,Apples,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Interactive tutorial;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),20,NA,Other (please specify):,NA,NA,NA,NA,NA,Philippines,NA,NA,PHP;Python,Python,Python,MariaDB;MySQL,NA,NA,NA,NA,NA,CodeIgniter,NA,NA,CMake,NA,NA,NA,NA,NA,Ant;APT,NA,NA,Visual Studio;Visual Studio Code,NA,NA,MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),NA,NA,NA,Discord,NA,NA,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Highly trust,Very well at handling complex tasks,Learning about a codebase,,,Learning about a codebase,,,,,I'm not sure,Biased results that do not represent diverse viewpoints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Stack Overflow;Coding sessions (live or recorded);How-to videos;Video-based Online Courses,NA,15,10,NA,NA,NA,NA,NA,NA,Bulgaria,NA,NA,C;C++,C;C++,C;C++,Oracle,Oracle,Oracle,NA,NA,NA,NA,NA,NA,NA,NA,NA,.NET Framework (1.0 - 4.8),NA,NA,Make,Make,Make,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Red Hat;Windows,Red Hat;Windows,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s),31,27,"Developer, full-stack",NA,NA,NA,NA,NA,Switzerland,NA,NA,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;SQL,C#;SQL,Microsoft Access;Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,NA,NA,NA,ASP.NET;ASP.NET CORE;Blazor;jQuery,Blazor,Blazor,Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,.NET (5+) ;Roslyn,.NET (5+) ;Roslyn,NuGet,NuGet,NuGet,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Windows,Confluence;Jira;Stack Overflow for Teams,Stack Overflow for Teams,Stack Overflow for Teams,Microsoft Teams,NA,NA,ChatGPT;Google Gemini;Visual Studio Intellicode,ChatGPT;Google Gemini;Visual Studio Intellicode,ChatGPT;Google Gemini;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,29,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,60-120 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Banking/Financial Services,0,0,0,0,0,0,0,0,0,Appropriate in length,Neither easy nor difficult,NA,5
I code primarily as a hobby,Under 18 years old,"Student, full-time",NA,Apples,NA,Primary/elementary school,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Friend or family member",Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine,7,NA,Student,NA,NA,NA,NA,NA,Canada,NA,NA,Rust;TypeScript,Rust;TypeScript,Rust;TypeScript,NA,NA,NA,NA,NA,NA,Node.js,Deno;Solid.js,NA,NA,NA,NA,NA,NA,NA,npm;Vite,Vite,Vite,Visual Studio Code,Visual Studio Code,Visual Studio Code,Arch,,NA,NA,NA,Discord,Discord,Discord,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Neither good or bad at handling complex tasks,Writing code;Testing code,Learning about a codebase;Documenting code;Search for answers,Project planning;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Writing code;Testing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Blogs;Coding sessions (live or recorded);How-to videos;Video-based Online Courses;Certification videos,NA,6,3,"Developer, front-end",NA,NA,NA,NA,NA,India,NA,NA,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,NA,NA,NA,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku,NA,NA,jQuery;Next.js;React,Next.js;React,Next.js;React,NA,NA,NA,React Native,OpenGL;React Native,React Native,Docker;npm;Vite;Yarn,Docker;pnpm;Vite,Docker;Vite,VSCodium,VSCodium,VSCodium,Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Google Meet;Microsoft Teams;Telegram;Whatsapp,Google Meet;Microsoft Teams,Google Meet;Microsoft Teams,ChatGPT,GitHub Copilot;Google Gemini,NA,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions,Neutral,"No, but I plan to soon",Favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not sure,Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Lack of executive buy-in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member",Technical documentation;Blogs;Books;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;AI;Certification videos,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),12,10,"Developer, full-stack",NA,NA,NA,NA,NA,Germany,NA,NA,C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery,ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,NA,NA,NA,.NET (5+) ,.NET (5+) ,.NET (5+) ,Ansible;Chocolatey;MSBuild,MSBuild,MSBuild,Visual Studio;Visual Studio Code,Visual Studio,Visual Studio,Other Linux-based;Ubuntu;Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Microsoft Teams;Telegram,Microsoft Teams;Telegram,Microsoft Teams;Telegram,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Predictive analytics,Project planning;Deployment and monitoring,Documenting code;Testing code,,Writing code;Search for answers;Generating content or synthetic data,,,No,Energy demand,Not everyone uses them,Yes,Individual contributor,12,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Never,3-5 times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for build;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10,0,10,60,10,10,0,0,0,Appropriate in length,Easy,NA,10
I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,22,11,Database administrator,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,PowerShell;SQL,PowerShell;Python;SQL,PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kate;Nano;Notepad++;Visual Studio;Visual Studio Code,Kate;Nano;Notepad++;Visual Studio;Visual Studio Code,Kate;Nano;Notepad++;Visual Studio;Visual Studio Code,Arch;ChromeOS;Ubuntu,Ubuntu;Windows,Jira,Jira,Jira,Cisco Webex Teams;Discord;Microsoft Teams;Whatsapp;Zoom,Discord,Discord,NA,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Other (please specify):,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp","Written Tutorials;Stack Overflow;Interactive tutorial;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",NA,5,Less than 1 year,Other (please specify):,NA,NA,NA,NA,NA,Germany,NA,NA,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA,C++;Java;JavaScript;PHP;PowerShell;Python;R;SQL,PHP;Python;SQL,MySQL,Microsoft SQL Server;MySQL;PostgreSQL,MySQL,NA,NA,NA,Django,Angular;Laravel;React,NA,Arduino;Rasberry Pi,Rasberry Pi,Rasberry Pi,NumPy;Opencv;Pandas,Opencv;Pandas;TensorFlow;Torch/PyTorch,Opencv;Pandas,Homebrew;Pip,Docker,NA,Eclipse;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code;Xcode,PhpStorm;Visual Studio Code;WebStorm,Visual Studio Code,iOS;MacOS;Ubuntu;Windows,Ubuntu;Windows,Miro,Notion,NA,Jitsi;Mattermost;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp,Microsoft Teams,Microsoft Teams,ChatGPT,Claude,NA,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Unsure,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Committing and reviewing code;Search for answers,Learning about a codebase;Project planning;Testing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Documenting code;Debugging and getting help;Search for answers,,Committing and reviewing code,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Lack of proper training and education on new tools;Not everyone uses them,Yes,Individual contributor,10,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Never,10+ times a week,6-10 times a week,Less than 15 minutes a day,15-30 minutes a day,Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for build,Observability tools;Microservices,Hybrid (on-prem and cloud),A coworker,Other:,90,100,100,100,90,90,100,90,100,Appropriate in length,Easy,NA,6
I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos,API document(s) and/or SDK document(s);Traditional public search engine,36,11,"Developer, full-stack",NA,NA,NA,NA,NA,Germany,NA,NA,C#;HTML/CSS;Java;PHP;SQL,C#;HTML/CSS;Java;PHP;SQL,C#;HTML/CSS;Java;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,NA,NA,NA,ASP.NET;ASP.NET CORE;Blazor,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,.NET (5+) ;.NET Framework (1.0 - 4.8),Godot;Maven (build tool),Godot,Godot,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Eclipse;Notepad++;Visual Studio,Eclipse;Notepad++;Visual Studio,Other Linux-based,Windows,Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,Multiple times per day,Yes,Multiple times per day,Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code,,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,Documenting code,Writing code,,,No,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
